release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,peak-rank
8/27/2021,day,0.517,0.7,6,-6.568,0,0.0452,0.00375,0.0385,0.0634,0.518,179.986,4,176413,63,64
8/29/2021,day,0.67,0.675,6,-4.624,0,0.179,0.0581,0,0.433,0.263,90.948,4,183297,63,68
8/29/2021,day,0.711,0.428,1,-7.274,0,0.307,0.145,0,0.534,0.197,83.036,4,162108,62,70
8/29/2021,day,0.44,0.465,3,-6.592,1,0.0318,0.689,1.26E-06,0.384,0.241,126.937,4,310394,62,77
8/29/2021,day,0.714,0.417,2,-11.085,0,0.0426,0.209,0,0.105,0.213,144.064,3,104219,53,90
5/21/2021,day,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37E-06,0.28,0.28,123.999,4,143747,81,12
6/24/2021,day,0.743,0.655,6,-5.015,0,0.159,0.114,0,0.0764,0.785,172.031,4,261335,80,41
8/6/2021,day,0.681,0.687,9,-7.612,1,0.332,0.0555,0,0.062,0.588,108.641,3,190345,69,80
8/21/2021,day,0.672,0.654,1,-4.528,1,0.0966,0.201,0,0.1,0.404,78.512,4,188026,67,49
3/20/2020,day,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4,200040,91,1
2/5/2021,day,0.748,0.551,11,-6.12,1,0.0349,0.235,0,0.119,0.66,103.953,4,144533,70,21
11/6/2020,day,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,4,161385,80,8
1/6/2021,day,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,4,132780,79,6
6/11/2021,day,0.789,0.536,6,-6.862,1,0.242,0.41,0,0.129,0.437,81.039,4,165926,82,1
,,,,,,,,,,,,,,,,21
10/23/2020,day,0.707,0.689,4,-7.097,0,0.0387,0.0255,0,0.383,0.41,119.987,4,195962,71,23
6/11/2021,day,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,4,227395,82,13
8/21/2021,day,0.756,0.698,6,-5.464,1,0.178,0.0849,0,0.221,0.66,77.497,4,247714,74,56
